t,value
1758264660,2
1758264690,2
1758264720,2
1758264750,2
1758264780,2
1758264810,10
1758264840,11
1758264870,11
1758264900,11
1758264930,11
1758265140,8
1758265170,8
1758265200,8
1758265230,8
1758265260,8
1758265290,8
1758265320,8
1758265350,8
1758265380,8
1758265410,8
1758265440,8
1758266130,8
1758266160,8
1758266190,8
1758266220,8
1758266400,9
1758266430,9
1758266460,9
1758266490,9
1758266520,9
1758266550,9
1758266580,9
1758266610,9
1758266640,9
1758266670,9
1758266700,9
1758266730,9
1758266760,9
1758266790,9
1758266820,9
1758266850,20
1758266880,23
1758266910,23
1758266940,23
1758266970,23
1758267000,23
1758267030,23
1758267060,23
1758267090,23
1758267120,23
1758267150,23
1758267180,23
1758267210,23
1758267240,23
1758267270,23
1758267300,23
1758267330,23
1758267360,23
1758267390,23
1758267420,23
1758267450,23
1758267480,23
1758267510,23
1758267540,23
1758267570,23
1758267600,23
1758267630,23
1758267660,23
1758267690,23
1758267720,23
1758267750,23
1758267780,23
1758267810,23
1758267840,23
1758267870,23
1758267900,23
1758267930,23
1758267960,23
1758267990,23
1758268020,23
1758268050,23
1758268080,23
1758268110,23
1758268140,23
1758268170,23
1758268200,23
1758268231,23
1758268261,23
1758268291,23
1758268321,23
1758268351,23
1758268381,23
1758268411,23
1758268441,23
1758268471,23
1758268501,23
1758268531,23
1758268561,23
1758268591,23
1758268621,23
1758268651,23
1758268681,23
1758268711,23
1758268741,23
1758268771,23
1758268801,23
1758268831,23
1758268861,23
1758268891,23
1758268921,23
1758268951,23
1758268981,23
1758269011,23
1758269041,23
1758269071,23
1758269101,23
1758269131,23
1758269161,23
1758269191,23
1758269221,23
1758269251,23
1758269281,23
1758269311,23
1758269341,23
1758269371,23
1758269401,23
1758269431,23
1758269461,23
1758269491,23
1758269521,23
1758269551,23
1758269581,23
1758269611,23
1758269641,23
1758269671,23
1758269701,23
1758269731,23
1758269761,23
1758269791,23
1758269821,23
1758269851,23
1758269881,23
1758269911,23
1758269941,23
1758269971,23
1758270001,23
1758270031,23
1758270061,23
1758270091,23
1758270121,23
1758270151,23
1758270181,23
1758270211,23
1758270241,23
1758270271,23
1758270301,23
1758270331,23
1758270362,23
1758270392,24
1758270422,25
1758270452,28
1758270482,30
1758270512,32
1758270542,36
1758270572,37
1758270602,37
1758270632,37
1758270662,37
1758270692,37
1758270722,37
1758270752,37
1758270782,37
1758270812,37
1758270842,37
1758270872,37
1758270902,37
1758270932,37
1758496830,0
1758496860,10
1758496890,10
1758496920,10
1758496950,11
1758496980,11
1758497010,11
1758497040,11
1758497070,11
1758497100,11
1758497130,11
1758497160,11
1758497190,11
1758497220,11
1758497250,11
1758497280,11
1758497310,11
1758497340,11
1758497370,11
1758497400,11
1758497430,11
1758497460,11
1758497490,11
1758497520,11
1758497550,11
1758497580,11
1758497610,11
1758497640,11
1758497670,11
1758497700,11
1758497730,11
1758497760,11
1758497790,11
1758497820,11
1758497850,11
1758497880,12
1758497910,12
1758497940,12
1758497970,12
1758498000,12
1758498030,12
1758498060,12
1758498090,12
1758498120,12
1758498150,12
1758498180,12
1758498210,12
1758498240,12
1758498270,12
1758498300,12
1758498330,12
1758498360,12
1758498390,12
1758498420,12
1758498450,12
1758498480,12
1758498510,12
1758498540,12
1758498570,12
1758498780,0
1758498810,7
1758498840,7
1758498870,7
1758498900,7
1758498930,7
1758498960,7
1758498990,7
1758499020,7
1758499050,7
1758499080,7
1758499110,7
1758499140,7
1758499170,7
1758499200,7
1758499230,7
1758499260,7
1758499290,7
1758499320,7
1758499350,7
1758499380,7
1758499410,7
1758499440,7
1758499470,7
1758499500,7
1758499530,7
1758499560,7
1758499590,7
1758499620,7
1758499650,7
1758499680,7
1758499710,7
1758499740,7
1758499770,7
1758499800,7
1758499830,7
1758499860,7
1758499890,7
1758499980,0
1758500010,7
1758500040,7
1758500070,7
1758500100,7
1758500130,7
1758500160,15
1758500190,15
1758500220,36
1758500250,36
1758500280,36
1758500310,36
1758500340,36
1758500370,36
1758500400,36
1758500430,36
1758500460,36
1758500490,36
1758500520,36
1758500550,36
1758500580,36
1758500610,36
1758500640,36
1758500670,36
1758500700,37
1758500730,39
1758500760,39
1758500790,40
1758500820,41
1758500850,43
1758500880,43
1758500910,43
1758500940,43
1758500970,44
1758501000,44
1758501030,44
1758501060,44
1758501090,44
1758501120,44
1758501150,44
1758501180,44
1758501211,44
1758501241,44
1758501271,44
1758501301,44
1758501331,44
1758501361,44
1758501391,44
1758501421,44
1758501451,44
1758501481,44
1758501511,44
1758501541,44
1758501571,44
1758501601,44
1758501631,44
1758501661,44
1758501691,45
1758501721,46
1758501751,46
1758501781,48
1758501811,49
1758501841,50
1758501871,51
1758501901,51
1758501931,51
1758501961,51
1758501991,51
1758502021,51
1758502051,51
1758502081,51
1758502111,51
1758502141,51
1758502171,51
1758502201,51
1758502231,51
1758502261,51
1758502291,51
1758502321,51
1758502351,51
1758502381,51
1758502411,51
1758502441,51
1758502471,51
1758502501,51
1758502531,51
1758502561,4
1758502591,4
1758502621,6
1758502651,6
